,Unnamed: 0,Unnamed: 0.1.1,review_index,product_index,sentences,labelled_topic,labelled_sentiment,rating,sentence_ix
0,199340,199340,71008,3312, the pieces aren't too glossy/shiny and that is great when you  with an overhead light because super glossy pieces are almost impossible to see in that set up,3.0,1.0,5,199340
1,43567,43567,15520,136, i got this on sale for like half price and i thoroughly enjoyed doing it,4.0,1.0,5,43567
2,173685,173685,62254,2307,a wonderful ,4.0,1.0,5,173685
3,117952,117952,42136,812, it is actually a bit more difficult than you might think,1.0,-1.0,5,117952
4,176963,176963,63335,2377, the glow in the dark paint showed green in the dark and didn't light the fires or places that you would assume would be lighted,4.0,0.0,4,176963
5,152315,152315,54594,1669, at first i thought it would be too flimsy to hold the box upright but that isn't the case,4.0,0.0,4,152315
6,95939,95939,33939,513, if i were of a mind to preserve or frame a  this one would be at the top of my list,3.0,1.0,5,95939
7,97639,97639,34599,532,great thank you ,4.0,1.0,5,97639
8,41993,41993,14923,133,it's ok,4.0,1.0,3,41993
9,122579,122579,43825,880, arrived in only 9 days from overseas,4.0,0.0,5,122579
10,86293,86293,30476,393, ended up glueing and framing it for the game room,4.0,0.0,5,86293
11,186098,186098,66398,2710, our family is rather picky when it comes to s,4.0,0.0,5,186098
12,112420,112420,40036,712, the picture on the box looks great,3.0,1.0,5,112420
13,211543,211543,75313,4066,i enjoyed putting this  together,2.0,1.0,5,211543
14,212038,212038,75471,4103, the picture is so much fun,3.0,1.0,4,212038
15,48600,48600,17403,163, would recomend to anyone who is a  fanaticenjoyi did ,4.0,0.0,5,48600
16,170584,170584,61165,2200,simmons island and the surrounding islands,4.0,0.0,5,170584
17,52620,52620,18608,169,got this for my wife for christmas she was doing  on the dining room table and between the kid or the cats they were ruining her s everytime she had tried to make some progress on them,4.0,0.0,5,52620
18,80186,80186,28211,326, to the casual observer it seems he's just being sweet and cuddly,4.0,0.0,5,80186
19,17089,17089,6188,36, i have since purchased several s of this brand and have not been disappointed,4.0,0.0,5,17089
20,163302,163302,58661,2014, after a friend and i crawled all around the floor looking under rugs and furniture and found no missing pieces i can only conclude that the  came to me with two pieces missing,0.0,-1.0,3,163302
21,150055,150055,53790,1601, also you don't learn much about geography with such small lettering,4.0,0.0,2,150055
22,108631,108631,38624,655,love the detail of the animals ,3.0,1.0,5,108631
23,220760,220760,78136,4681,just ordered this ,4.0,0.0,5,220760
24,101201,101201,35930,581,this was a really fun  with lots of challenging objects in it yet doable,1.0,1.0,5,101201
25,82457,82457,29008,341, this was an expensive  to be such a waste of money,4.0,-1.0,1,82457
26,224077,224077,79182,5011, they don't interlock so even when you find where a piece goes it will simply sit there until you have filled in all of the piece around it,2.0,-1.0,1,224077
27,137993,137993,49351,1264,child really loves the  and after she was done we made it look better by hanging it on the wall,4.0,1.0,5,137993
28,169876,169876,60925,2184,wysocki s are my favorite,4.0,1.0,5,169876
29,67699,67699,23796,235,great ,4.0,1.0,5,67699
30,70608,70608,24910,255,oh easy have it done in 30 minutes,1.0,1.0,5,70608
31,168691,168691,60540,2149, this is really for a  expert,1.0,0.0,4,168691
32,7877,7877,2933,13,nice  pretty picture no missing pieces,0.0,1.0,5,7877
33,83966,83966,29618,357, the colors are crisp and the picture is amazing,3.0,1.0,5,83966
34,132943,132943,47590,1116,i do a lot of s,4.0,0.0,5,132943
35,73135,73135,25765,275, highly recommend it,4.0,0.0,5,73135
36,133568,133568,47797,1129, expensive but worth the price,4.0,0.0,5,133568
37,179026,179026,64134,2470, good quality,3.0,1.0,5,179026
38,155747,155747,55756,1768, this is unless you have nothing else to do be try to find on the tiny pieces ,4.0,0.0,2,155747
39,108504,108504,38589,654,nice ,4.0,0.0,5,108504
40,31921,31921,11466,91, what if many are duplicates and i am still missing one of the original 1k pieces,0.0,-1.0,2,31921
41,230131,230131,81193,6004, for anyone who loves cats or old toys,4.0,0.0,5,230131
42,131869,131869,47218,1096,good quality pieces and took half the time expected to finish largely due to the table format and element numerics on the  pieces,2.0,1.0,4,131869
43,49811,49811,17868,168,very enjoyable  to put together,4.0,0.0,4,49811
44,199827,199827,71148,3325,the picture is fun and the  not too challenging,1.0,1.0,5,199827
45,211854,211854,75415,4089, it's a totally different shape and has words in it like the qord god,4.0,0.0,1,211854
46,221607,221607,78406,4767, they don't lock together so sometimes i think i have connected the wrong pieces,2.0,-1.0,3,221607
47,122144,122144,43663,869, i will put this  together in the near future,4.0,0.0,5,122144
48,212929,212929,75736,4157,fun  and loved the larger would not call the pieces large but larger than typical s,4.0,0.0,5,212929
49,183561,183561,65571,2634, the pieces don't really stick together they just lay next to each other; i can't pick up more than once piece at a time,2.0,-1.0,3,183561
50,84665,84665,29872,361, in fact colby found bill clinton's face and chelsea put together martin luther king's profile,4.0,0.0,5,84665
51,119423,119423,42633,832, the pieces are not as snug or fine but the  itself is beautiful,3.0,1.0,5,119423
52,41504,41504,14753,132, very well made,4.0,0.0,5,41504
53,49866,49866,17901,168, this was the toughest of 3 buffalo s i gave to my wife,4.0,0.0,5,49866
54,215284,215284,76349,4252, from purchase until delivery i had to wait 11 days that was very ok,4.0,0.0,5,215284
55,123031,123031,43991,886,cute and fast shipping ,4.0,0.0,5,123031
56,125603,125603,44970,950, went home put this  together again to confirm yes,4.0,0.0,5,125603
57,227838,227838,80423,5553, s is a wonderful place to shop,4.0,0.0,5,227838
58,11723,11723,4216,22, the pieces are high quality and snap in nicely,2.0,1.0,5,11723
59,174962,174962,62744,2343,this is a challenging enough  to keep your interest,1.0,1.0,5,174962
60,148663,148663,53304,1575,this was challenging and and fun,1.0,1.0,5,148663
61,58146,58146,20539,200, with them you're rolling the dice on whether your  will be complete or not,4.0,0.0,2,58146
62,108672,108672,38642,656, is well made sturdy,3.0,1.0,5,108672
63,223360,223360,78970,4938,way more difficult than i thought and i am an avid r,1.0,-1.0,5,223360
64,190372,190372,67836,2894,i have over a dozen of these  1000-piece s and they are all very well made and fun to put together,2.0,1.0,5,190372
65,89141,89141,31548,430,åÊquality ,4.0,0.0,5,89141
66,71557,71557,25186,258, crayon for scale ,4.0,0.0,5,71557
67,151078,151078,54173,1629,this is an extremely difficult and enjoyable ,1.0,1.0,5,151078
68,134632,134632,48213,1164, there is nothing more disappointing than spending 20 on a  time spent putting together only to find a missing piece,0.0,-1.0,1,134632
69,221940,221940,78501,4791, had to use pliers to get to hold together at all,2.0,-1.0,2,221940
70,61713,61713,21582,208,as s go not too hard not too easy,1.0,1.0,3,61713
71,96591,96591,34227,519, some seemed to fit together when they shouldn't have,2.0,-1.0,4,96591
72,45444,45444,16207,143, come on  make a new version including all 9,4.0,0.0,4,45444
73,46522,46522,16628,152,the product is the same as it showed in the description good product effective in delivering the same congratulations you keep buying ,4.0,1.0,5,46522
74,113183,113183,40356,728, this  had a lot of different fonts and logos so it was pretty easy to get some big sections assembled; the last several hundred pieces were still a nice challenge though,1.0,1.0,5,113183
75,86904,86904,30764,401,unlike many of the coca-cola s this one had a variety of colors,4.0,0.0,5,86904
76,20737,20737,7460,47,got this for my grandparents because they love s but always have to clean it up when company comes over,4.0,0.0,5,20737
77,159719,159719,57228,1922,this is a fun and challenging  to put together,1.0,1.0,3,159719
78,192425,192425,68598,2993, they asked me to tell them the upc code and a specific manufacturing code found on the box and asked me to take pictures of where the damaged piece would go i assumed so they would be able to send me a properly cut replacement piece,2.0,-1.0,4,192425
79,92217,92217,32716,473,i was pleasantly surprised at the wonderful quality of this ,3.0,1.0,5,92217
80,80163,80163,28209,326, i know that this  will last me a long time,4.0,1.0,5,80163
81,12134,12134,4350,22,my most favorite ,4.0,1.0,5,12134
82,191607,191607,68283,2949, will probably donate it to the library for someone else to put together,4.0,0.0,3,191607
83,47883,47883,17109,163, we have to find another good one to stump this with this year,4.0,0.0,5,47883
84,86107,86107,30411,390, it's a beautiful  and we love the story that goes along with it so we were very excited to get it finished and put it on the wall,3.0,1.0,3,86107
85,63360,63360,22142,215, i was looking for something more challenging and this just didn't fit the bill,1.0,-1.0,3,63360
86,182883,182883,65363,2610, i am an avid  worker and have used this brand before,4.0,0.0,1,182883
87,9781,9781,3598,15, when we received the box the pieces were loose inside a box that was just taped closed,4.0,-1.0,1,9781
88,150412,150412,53923,1607, we have had to pull at least a dozen pieces out once we realized what was going on,4.0,0.0,2,150412
89,27257,27257,9664,65, this  is perfect for a group of friends to do over coffee or punch and cookies and talk about the ones you've read and all the enjoyment that comes with that,4.0,1.0,5,27257
90,147370,147370,52862,1523, it was a great challenge,1.0,1.0,5,147370
91,12372,12372,4453,22,hard enough to be interesting but easy enough to be relaxing and enjoyable ,1.0,1.0,5,12372
92,135492,135492,48510,1184,our family is hooked on  s,4.0,0.0,5,135492
93,111366,111366,39668,698, very nice print,3.0,1.0,5,111366
94,82991,82991,29230,345, this was given to me as a gift,4.0,0.0,5,82991
95,62079,62079,21735,212, s start and end with ,4.0,0.0,5,62079
96,210932,210932,75092,4023, after building this  it was missing a piece we build s in the living room which is literally not used for anything else,1.0,-1.0,1,210932
97,138084,138084,49392,1269, pieces are a nice size,2.0,1.0,5,138084
98,9396,9396,3485,14,the photo on the box is amazingly small,3.0,-1.0,1,9396
99,3918,3918,1399,4,love this very helpful i just did a 24x30 1000 piece though certainly not enough space until i did a good portion of it ,4.0,0.0,5,3918
100,9359,9359,3466,14, s never disappoint,4.0,1.0,4,9359
101,116372,116372,41579,777, it really is a gorgeous ,3.0,1.0,4,116372
102,175331,175331,62808,2345, the pieces lock perfectly,2.0,1.0,5,175331
103,154554,154554,55328,1731, the pieces are large and very sturdy,2.0,1.0,5,154554
104,146199,146199,52413,1504, it does the job,4.0,0.0,2,146199
105,101261,101261,35960,581, not too hard and not too easy,1.0,1.0,5,101261
106,37237,37237,13297,117, some fit in more than one place and some were hard to get apart without bending a piece,2.0,-1.0,4,37237
107,79701,79701,28053,324,82 year old mother loves this board for her s,4.0,0.0,5,79701
108,8752,8752,3186,14,was a lot of fun to put together,4.0,1.0,5,8752
109,108101,108101,38452,649,this was my first hennessy  and loved it,4.0,1.0,5,108101
110,211113,211113,75144,4032, fun to put together especially if you like cats,4.0,1.0,4,211113
111,202403,202403,72074,3468,great item beautiful picture ,3.0,1.0,5,202403
112,50624,50624,18051,169, we will use it in the future to store a  that is half done but not for much else,4.0,0.0,3,50624
113,220255,220255,77978,4633,great ,4.0,1.0,5,220255
114,40133,40133,14361,131, the felt top is awesome for holding the  in place and difficult to move once placed,4.0,1.0,4,40133
115,93790,93790,33328,493, thank you so much,4.0,1.0,5,93790
116,186225,186225,66449,2719,i'm an invalide and a jigsaw  addict so i consider myself an expert on s,4.0,1.0,5,186225
117,233138,233138,82172,6719, however my father-in-law was very happy with his gift & said he would be working the  yet this winter,4.0,1.0,5,233138
118,62756,62756,21950,214, even the edges took several attempts to get right,4.0,0.0,5,62756
119,124834,124834,44702,933, you won't want to stop working on it,4.0,1.0,5,124834
120,90928,90928,32215,453, only to be so excited to place the last piece and it was missing from the package,0.0,-1.0,1,90928
121,81757,81757,28711,337,great gift,4.0,1.0,5,81757
122,84355,84355,29758,360,so let me know if you need them,4.0,1.0,3,84355
123,99938,99938,35449,562,beautiful quality color and  pieces fit well together,2.0,1.0,5,99938
124,179754,179754,64322,2490, it's a  so it's good quality low glare,3.0,1.0,5,179754
125,66509,66509,23362,232, i still could look at the box lid if i wanted to the box lid also comes with a convenient stand but i frequently looked at the laminated sheet,4.0,0.0,5,66509
126,217456,217456,77062,4409,really loved working on this ,4.0,1.0,5,217456
127,206823,206823,73629,3727, we framed it and it is now my five year old's favorite way to introduce doctor who to everyone who enters our home,4.0,1.0,5,206823
128,207765,207765,73985,3803,product was as described and delivered in a timely manner,4.0,1.0,5,207765
129,24777,24777,8822,60, the next time i get in the mood for a  i will definitely be buying a  ,4.0,1.0,4,24777
130,125311,125311,44867,946,very good ,4.0,1.0,5,125311
131,13824,13824,4902,30, the entire family enjoyed putting it together helping each other find pieces of candy bars,4.0,1.0,5,13824
132,133490,133490,47779,1129, i read other reviews and i guess it's a persistent issue with them,4.0,0.0,3,133490
133,143915,143915,51608,1438, i just don't understand,4.0,0.0,1,143915
134,78778,78778,27781,320, the one complaint is how much dust the pieces produced,4.0,-1.0,4,78778
135,36223,36223,12941,111, finally finished,4.0,0.0,3,36223
136,61570,61570,21535,205, we always do a  on vacation ,4.0,0.0,5,61570
137,6521,6521,2396,7,i would definitely recommend this ,4.0,1.0,5,6521
138,219234,219234,77626,4532,great ,4.0,1.0,5,219234
139,187966,187966,67028,2789, this particular  is among my favorite,4.0,1.0,5,187966
140,74659,74659,26272,286, all the prices were there and fit together nicely,2.0,1.0,5,74659
141,96990,96990,34351,523, would highly recommend,4.0,1.0,5,96990
142,108483,108483,38584,654, easy to assemble,1.0,1.0,5,108483
143,121426,121426,43426,860,enjoyed this ,4.0,1.0,5,121426
144,14254,14254,5050,30,love these s so much they're so fun to do excellent quality free fast shipping ,3.0,1.0,5,14254
145,51939,51939,18484,169, my cats knocked the closed case off the table and it stayed closed and kept the  and pieces intact i am very satisfied w this product,4.0,1.0,5,51939
146,220308,220308,77996,4639,this  looked really nice when put together,3.0,1.0,5,220308
147,37073,37073,13274,116, at the same time an obviously correct piece might not fit snugly enough,2.0,-1.0,2,37073
148,154382,154382,55273,1723,fun,4.0,1.0,5,154382
149,31785,31785,11429,91, we started with the frame and then worked along the top and bottom edges,4.0,0.0,5,31785
150,64570,64570,22660,223,  has delivered a beautiful ,3.0,1.0,5,64570
151,80577,80577,28333,326,beautiful dragon  love it,3.0,1.0,5,80577
152,187428,187428,66861,2768,this was given as a gift,4.0,0.0,5,187428
153,154378,154378,55273,1723,in addition to a number of funky mid-century images how much do i love vintage trailers with its the egg-shaped airstreams situated among pink flamingos,4.0,1.0,5,154378
154,36950,36950,13240,115,everything about this company and their products is amazing,4.0,1.0,4,36950
155,113707,113707,40531,732,beautiful  ,3.0,1.0,5,113707
156,78696,78696,27757,319,great ,4.0,1.0,5,78696
157,223243,223243,78929,4928, i love the artwork and only wish the  pieces were not so loose,3.0,1.0,5,223243
158,98611,98611,34997,547, i looked over other reviews and noticed that 10 out of 84 reviews noted the same problem,4.0,0.0,2,98611
159,78928,78928,27840,321,love the shaded s,4.0,1.0,5,78928
160,79904,79904,28127,324,hard but fun ,1.0,1.0,5,79904
161,70838,70838,25000,256, plenty of room for those larger s,4.0,0.0,5,70838
162,164992,164992,59280,2046,shipped with in a week,4.0,0.0,5,164992
163,88870,88870,31428,424,box came opened and pieces looked like they'd been chewed on by someone's dog,4.0,-1.0,1,88870
164,106771,106771,37947,642,this  is a bit challenge compare to other s he had done there were a lot of tricky pieces shaped like the edge pieces,1.0,1.0,5,106771
165,112170,112170,39959,708,eggshellant,4.0,0.0,5,112170
166,111987,111987,39879,706, looks nice with completed,3.0,1.0,5,111987
167,115896,115896,41393,774,this is a beautiful  when finished,3.0,1.0,5,115896
168,100796,100796,35785,576, was this item previously made in the usa but recently switched over to china and they even screwed up the translation,4.0,-1.0,1,100796
169,92648,92648,32892,480, pieces are of odd shapes so it's not your run of the mill ,4.0,0.0,5,92648
170,79128,79128,27911,322,the pieces are really small and the colors of them is the same that you can not really distinguish any differences and it will take for ever to finish the game,1.0,-1.0,3,79128
171,90749,90749,32139,448, the sturdy pieces are high quality with no layer separation or bent corners,2.0,1.0,5,90749
172,164610,164610,59139,2041, the quality of the  pieces is excellent,3.0,1.0,5,164610
173,212483,212483,75595,4128,very challenging but fun  to do,1.0,1.0,4,212483
174,8286,8286,3064,14, can't wait to get my next one,4.0,0.0,5,8286
175,109794,109794,39047,669,love the  s because of the quality and i like the design ideas they have for the images,3.0,1.0,5,109794
176,104299,104299,37027,616, they are also very unusual pieces with odd shapes and sizes,4.0,0.0,4,104299
177,130317,130317,46649,1054, will buy more heye s for sure ,4.0,0.0,5,130317
178,149800,149800,53695,1595, now trying to work on items,4.0,0.0,5,149800
179,13640,13640,4854,30, we had a group of teenagers come over before a big dance and they ended up staying and working on the  with us,4.0,0.0,5,13640
180,199699,199699,71108,3322, it was a fun and challenging ,1.0,1.0,5,199699
181,176735,176735,63259,2368,love it,4.0,1.0,5,176735
182,3912,3912,1397,4,great  accessory,4.0,0.0,4,3912
183,181658,181658,64951,2566,this is was a great item,4.0,1.0,5,181658
184,203202,203202,72360,3517, she enjoyed the challenge and thought the picture was pretty,1.0,1.0,4,203202
185,21752,21752,7830,49, i was going to frame it,4.0,0.0,1,21752
186,59715,59715,20931,202,omg best accessory purchase ever,4.0,1.0,5,59715
187,220140,220140,77930,4630,the  was more of a challenge,1.0,1.0,4,220140
188,7997,7997,3012,13, challenging but not too hard,1.0,1.0,5,7997
189,184078,184078,65714,2641, this  was challenging,1.0,1.0,4,184078
190,171872,171872,61589,2235, that's when you know it's a challenging ,1.0,1.0,5,171872
191,146692,146692,52575,1511, i have all three and wish he would do another one,4.0,1.0,5,146692
192,70381,70381,24838,252, one you get the general idea of the border you notice the slight differences,4.0,0.0,5,70381
193,223371,223371,78972,4939, mine had low dust and a few backing-attached pieces,4.0,1.0,5,223371
194,54268,54268,19202,180,i loved the challenge and the beautiful picture but there was just one piece missing : still was a great time to complete though,0.0,-1.0,4,54268
195,69069,69069,24341,244, a  on the table gives us something to do and something to focus on and brings out great conversation and team work,4.0,1.0,5,69069
196,68473,68473,24115,244, i don't think i will buy another  ,4.0,-1.0,1,68473
197,91757,91757,32512,467, he felt a real sense of accomplishment when completed,4.0,1.0,5,91757
198,103243,103243,36650,607,happy with the ,4.0,1.0,5,103243
199,173584,173584,62216,2299,a very difficult  took 4 of us about 6 hours total to finish but very good quality ,1.0,1.0,5,173584
200,150680,150680,54045,1617, mom & jim ,4.0,0.0,2,150680
201,201629,201629,71793,3426,that one is a must,4.0,0.0,5,201629
202,92309,92309,32747,474,i love these s,4.0,1.0,5,92309
203,99438,99438,35264,558, although it was somewhat challenging for us mother is 86 and despite her complaints about not being able to see very well she managed to do her part we still had a lot of fun,1.0,1.0,5,99438
204,114713,114713,40935,749, very sloppy very disappointing,4.0,-1.0,1,114713
205,107984,107984,38430,648, many pieces have writing on them which 1 tells you how the piece should be oriented and 2 you can often find its exact location using the reference picture on the box,4.0,0.0,5,107984
206,148412,148412,53243,1571, i would not recommend,4.0,-1.0,2,148412
207,1913,1913,638,1,great gift for my mom for christmas ,4.0,1.0,5,1913
208,183158,183158,65468,2618,a difficult but fun ,1.0,1.0,5,183158
209,13429,13429,4813,30, the  pieces are in many cases to long and skinny so they are already bent right out of the box and do not fit well together,2.0,-1.0,2,13429
210,124349,124349,44512,916, it was a lot of fun to piece it together,4.0,1.0,5,124349
211,13907,13907,4929,30, we finished it in less than a day but our daughter decided she was going to give it a go as well,4.0,0.0,5,13907
212,35489,35489,12708,106,great ,4.0,1.0,4,35489
213,141160,141160,50587,1374,perfect,4.0,1.0,5,141160
214,115616,115616,41282,765,fun ,4.0,1.0,3,115616
215,146660,146660,52568,1511, and so pretty,4.0,1.0,5,146660
216,38395,38395,13646,121, the edge had to be rearranged a few times before we could make it all fit together correctly,2.0,-1.0,3,38395
217,60155,60155,21050,202, a bit heavy but i did get the 1500 piece so that's expected,4.0,0.0,5,60155
218,120953,120953,43219,853, you can't use the same old tricks as you can with non photo mosaic s,4.0,0.0,5,120953
219,169286,169286,60731,2154, it was gorgeous but something bothered me about the picture,4.0,0.0,1,169286
220,469,469,71,1, it is well made which i one of the things i love about buffalo games s,3.0,1.0,5,469
221,43295,43295,15450,135, i ordered another of her s before i finished this one,4.0,0.0,3,43295
222,74253,74253,26168,284, i will definitely buy more,4.0,1.0,4,74253
223,116551,116551,41642,781, we found the  challenging enough,1.0,1.0,4,116551
224,165560,165560,59479,2065,the picture is peaceful but putting it together was quite a challenge,1.0,1.0,5,165560
225,169112,169112,60662,2154,unfortunately low quality ,3.0,-1.0,2,169112
226,148047,148047,53112,1551,got this for my mom,4.0,0.0,4,148047
227,104489,104489,37088,616, makes for a challenge to put together but it can be done,1.0,1.0,2,104489
228,146984,146984,52690,1513, the  piece size is easy to grip and it did not pull away from the picture,2.0,1.0,5,146984
229,159158,159158,57004,1904,love the little pictures on each of the 1000 pcs,4.0,1.0,5,159158
230,82127,82127,28894,337,great challenge,1.0,1.0,5,82127
231,15115,15115,5462,30,my kids ages 9-17 all loved this ,4.0,1.0,5,15115
232,118950,118950,42511,828,challenging and fun,1.0,1.0,5,118950
233,79983,79983,28168,324, it's great for games ticket to ride fans take note,4.0,1.0,5,79983
234,183645,183645,65587,2634, whatever,4.0,0.0,5,183645
235,225273,225273,79576,5152, the house and barn were relatively easy to assemble but the grass and trees added a few extra challenges,1.0,1.0,5,225273
236,195295,195295,69587,3113, i thought this rather lame at least compared to the storybook enhancements that moonbot studios have added where animations appear over their new children's books,4.0,-1.0,4,195295
237,11052,11052,4000,21, good quality,3.0,1.0,4,11052
238,123096,123096,44012,887, kind of a bummer,4.0,-1.0,2,123096
239,15741,15741,5651,31, plastic inflatable insert was tough to initially inflate due to the valve,4.0,-1.0,4,15741
240,57368,57368,20247,195,too hard,1.0,-1.0,1,57368
241,94275,94275,33500,500, and of course solve it in time,4.0,0.0,5,94275
242,43986,43986,15701,138,i'm in love with ingooood s,4.0,1.0,5,43986
243,5103,5103,1858,4, i highly recommend it,4.0,1.0,5,5103
244,122627,122627,43848,882,good one to have ,4.0,1.0,5,122627
245,35050,35050,12536,106,loved doing this ,4.0,1.0,5,35050
246,132812,132812,47534,1113,pieces are very hard to determined if they fit or not,2.0,-1.0,3,132812
247,55270,55270,19551,186,you can't do this  like most others,4.0,0.0,4,55270
248,143651,143651,51514,1430, much harder than most ,1.0,1.0,5,143651
249,71382,71382,25141,256, not all 1000 pc s are the same size so go for the jumbo 1500 piece size,4.0,0.0,5,71382
250,111614,111614,39734,702,loved putting this one together,4.0,1.0,5,111614
